image_id,otsu_n_objects,gt_n_objects,otsu_area_fraction,gt_area_fraction,otsu_mean_intensity,gt_mean_intensity,diff
train_000,9,10,0.0194,0.0193,0.7463,0.7475,-1
train_001,27,29,0.0844,0.086,0.7427,0.7361,-2
train_002,15,17,0.0408,0.0407,0.7022,0.704,-2
train_003,28,36,0.1015,0.1015,0.716,0.7164,-8
train_004,45,85,0.2012,0.2028,0.7667,0.7639,-40
train_005,16,52,0.1038,0.1045,0.7223,0.7201,-36
train_006,5,5,0.0138,0.0138,0.7877,0.7868,0
train_007,17,19,0.0497,0.0496,0.7009,0.7024,-2
train_008,14,16,0.0455,0.0457,0.6437,0.6436,-2
train_009,20,21,0.0623,0.0625,0.7385,0.7377,-1
train_010,35,59,0.1538,0.1543,0.7371,0.7364,-24
train_011,17,35,0.0819,0.0822,0.772,0.7705,-18
train_012,10,12,0.046,0.0455,0.7508,0.7552,-2
train_013,25,31,0.0857,0.0861,0.8031,0.8019,-6
train_014,29,35,0.105,0.1046,0.7334,0.7352,-6
train_015,33,38,0.0966,0.097,0.7206,0.7197,-5
train_016,32,46,0.1312,0.1317,0.7132,0.7126,-14
train_017,16,42,0.0912,0.0914,0.7829,0.7822,-26
train_018,7,7,0.0233,0.023,0.6793,0.6837,0
train_019,26,33,0.0849,0.0846,0.7533,0.7552,-7
train_020,18,22,0.0639,0.0646,0.7171,0.7149,-4
train_021,15,15,0.0355,0.0354,0.754,0.7553,0
train_022,31,50,0.144,0.1449,0.7655,0.7641,-19
train_023,15,53,0.0999,0.1005,0.771,0.7692,-38
train_024,8,9,0.0263,0.0258,0.6537,0.6599,-1
train_025,19,22,0.0609,0.0605,0.7366,0.7393,-3
train_026,23,30,0.0803,0.0801,0.7465,0.7482,-7
train_027,23,28,0.0679,0.0678,0.778,0.7792,-5
train_028,36,51,0.1351,0.1358,0.7439,0.7423,-15
train_029,20,35,0.0944,0.0946,0.7439,0.7432,-15
train_030,8,8,0.027,0.0273,0.7368,0.7342,0
train_031,26,30,0.0763,0.0772,0.738,0.7345,-4
train_032,15,18,0.041,0.0408,0.7304,0.7318,-3
train_033,25,29,0.0626,0.0629,0.7337,0.7331,-4
train_034,37,76,0.1837,0.1847,0.7314,0.7295,-39
train_035,13,52,0.1039,0.1047,0.7778,0.775,-39
train_036,11,11,0.0317,0.0314,0.64,0.644,0
train_037,23,27,0.0687,0.0689,0.6795,0.6792,-4
train_038,26,32,0.0916,0.0928,0.7273,0.7227,-6
train_039,28,35,0.1056,0.1069,0.7548,0.7508,-7
train_040,52,82,0.1951,0.1975,0.7322,0.7281,-30
train_041,25,45,0.1004,0.101,0.7876,0.786,-20
train_042,8,8,0.0182,0.018,0.6922,0.6964,0
train_043,21,25,0.0739,0.0737,0.7587,0.7598,-4
train_044,16,16,0.0515,0.0524,0.7344,0.7281,0
train_045,17,21,0.0618,0.0615,0.6857,0.6876,-4
train_046,41,84,0.2005,0.2016,0.7756,0.7739,-43
train_047,13,53,0.1078,0.1084,0.7718,0.7701,-40
train_048,9,9,0.024,0.0236,0.6966,0.7026,0
train_049,22,39,0.0867,0.0874,0.7421,0.7395,-17
train_050,21,23,0.0515,0.0512,0.7286,0.7316,-2
train_051,26,30,0.079,0.0786,0.7244,0.7267,-4
train_052,38,53,0.1315,0.1325,0.7404,0.7385,-15
train_053,20,37,0.0742,0.0756,0.7661,0.7595,-17
train_054,7,7,0.0238,0.0241,0.7444,0.7412,0
train_055,12,16,0.0403,0.04,0.7382,0.741,-4
train_056,18,19,0.0502,0.0499,0.6805,0.6824,-1
train_057,22,27,0.0635,0.0633,0.7268,0.728,-5
train_058,34,55,0.137,0.138,0.7463,0.7433,-21
train_059,21,45,0.0922,0.093,0.8039,0.8006,-24
train_060,7,7,0.0155,0.0153,0.729,0.7342,0
train_061,20,20,0.0469,0.047,0.7247,0.7239,0
train_062,22,27,0.0761,0.0764,0.7511,0.7495,-5
train_063,26,33,0.0861,0.0864,0.7262,0.7253,-7
train_064,47,73,0.1799,0.181,0.7741,0.7726,-26
train_065,21,60,0.1143,0.1159,0.7401,0.7357,-39
train_066,6,7,0.0181,0.0181,0.7638,0.7657,-1
train_067,14,17,0.0396,0.0393,0.7622,0.7648,-3
train_068,26,39,0.1098,0.1098,0.7432,0.7435,-13
train_069,24,27,0.0688,0.0687,0.7308,0.7322,-3
train_070,35,53,0.1288,0.1288,0.7678,0.7673,-18
train_071,17,34,0.0822,0.0821,0.7526,0.7533,-17
train_072,8,8,0.015,0.0147,0.7156,0.7216,0
train_073,31,36,0.0942,0.0946,0.7391,0.7382,-5
train_074,28,38,0.0952,0.0957,0.7643,0.7627,-10
train_075,21,22,0.0653,0.0653,0.7652,0.7658,-1
train_076,38,80,0.2042,0.2048,0.7448,0.7442,-42
train_077,15,42,0.0797,0.0799,0.7694,0.7682,-27
train_078,10,10,0.0278,0.0285,0.7762,0.7677,0
train_079,19,29,0.0843,0.0845,0.7289,0.7288,-10
